page_num,text,fontname,size,top_x0_pt,top_y0_pt,top_x1_pt,top_y1_pt,pdf_x0_pt,pdf_y0_pt,pdf_x1_pt,pdf_y1_pt,center_x_pt,center_y_top_pt,center_y_pdf_pt,page_width_pt,page_height_pt
1,C,BCDEEE+Arial-ItalicMT,8.0,36.0,15.563999999999965,41.776,23.563999999999965,36.0,818.3360244140625,41.776,826.3360244140625,38.888000000000005,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,i,BCDEEE+Arial-ItalicMT,8.0,41.792,15.563999999999965,43.568000000000005,23.563999999999965,41.792,818.3360244140625,43.568000000000005,826.3360244140625,42.68000000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,v,BCDEEE+Arial-ItalicMT,8.0,43.584,15.563999999999965,47.584,23.563999999999965,43.584,818.3360244140625,47.584,826.3360244140625,45.584,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,i,BCDEEE+Arial-ItalicMT,8.0,47.584,15.563999999999965,49.36000000000001,23.563999999999965,47.584,818.3360244140625,49.36000000000001,826.3360244140625,48.47200000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,l,BCDEEE+Arial-ItalicMT,8.0,49.376,15.563999999999965,51.152,23.563999999999965,49.376,818.3360244140625,51.152,826.3360244140625,50.263999999999996,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1, ,BCDEEE+Arial-ItalicMT,8.0,51.168,15.563999999999965,53.392,23.563999999999965,51.168,818.3360244140625,53.392,826.3360244140625,52.28,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,S,BCDEEE+Arial-ItalicMT,8.0,53.392,15.563999999999965,58.728,23.563999999999965,53.392,818.3360244140625,58.728,826.3360244140625,56.06,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,e,BCDEEE+Arial-ItalicMT,8.0,58.672,15.563999999999965,63.12,23.563999999999965,58.672,818.3360244140625,63.12,826.3360244140625,60.896,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,r,BCDEEE+Arial-ItalicMT,8.0,63.168,15.563999999999965,65.832,23.563999999999965,63.168,818.3360244140625,65.832,826.3360244140625,64.5,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,v,BCDEEE+Arial-ItalicMT,8.0,65.864,15.563999999999965,69.864,23.563999999999965,65.864,818.3360244140625,69.864,826.3360244140625,67.864,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,i,BCDEEE+Arial-ItalicMT,8.0,69.864,15.563999999999965,71.64,23.563999999999965,69.864,818.3360244140625,71.64,826.3360244140625,70.75200000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,c,BCDEEE+Arial-ItalicMT,8.0,71.656,15.563999999999965,75.656,23.563999999999965,71.656,818.3360244140625,75.656,826.3360244140625,73.656,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,e,BCDEEE+Arial-ItalicMT,8.0,75.56,15.563999999999965,80.00800000000001,23.563999999999965,75.56,818.3360244140625,80.00800000000001,826.3360244140625,77.784,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1, ,BCDEEE+Arial-ItalicMT,8.0,80.05600000000001,15.563999999999965,82.28000000000002,23.563999999999965,80.05600000000001,818.3360244140625,82.28000000000002,826.3360244140625,81.168,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,F,BCDEEE+Arial-ItalicMT,8.0,82.28000000000002,15.563999999999965,87.16800000000002,23.563999999999965,82.28000000000002,818.3360244140625,87.16800000000002,826.3360244140625,84.72400000000002,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,o,BCDEEE+Arial-ItalicMT,8.0,87.168,15.563999999999965,91.616,23.563999999999965,87.168,818.3360244140625,91.616,826.3360244140625,89.392,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,r,BCDEEE+Arial-ItalicMT,8.0,91.56000000000002,15.563999999999965,94.22400000000002,23.563999999999965,91.56000000000002,818.3360244140625,94.22400000000002,826.3360244140625,92.89200000000002,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,m,BCDEEE+Arial-ItalicMT,8.0,94.256,15.563999999999965,100.92000000000002,23.563999999999965,94.256,818.3360244140625,100.92000000000002,826.3360244140625,97.58800000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1, ,BCDEEE+Arial-ItalicMT,8.0,100.94400000000002,15.563999999999965,103.16800000000002,23.563999999999965,100.94400000000002,818.3360244140625,103.16800000000002,826.3360244140625,102.05600000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,N,BCDEEE+Arial-ItalicMT,8.0,103.16800000000002,15.563999999999965,108.94400000000002,23.563999999999965,103.16800000000002,818.3360244140625,108.94400000000002,826.3360244140625,106.05600000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
1,o,BCDEEE+Arial-ItalicMT,8.0,108.84000000000002,15.563999999999965,113.288,23.563999999999965,108.84000000000002,818.3360244140625,113.288,826.3360244140625,111.06400000000001,19.563999999999965,822.3360244140625,595.2999877929688,841.9000244140625
