page_num,block,line,word_no,text,top_x0_pt,top_y0_pt,top_x1_pt,top_y1_pt,pdf_x0_pt,pdf_y0_pt,pdf_x1_pt,pdf_y1_pt,center_x_pt,center_y_top_pt,center_y_pdf_pt,page_width_pt,page_height_pt
1,0,0,0,Civil,36.0,14.660024642944336,51.152000427246094,23.564023971557617,36.0,818.3360004425049,51.152000427246094,827.2399997711182,43.57600021362305,19.112024307250977,822.7880001068115,595.2999877929688,841.9000244140625
1,0,0,1,Service,53.391998291015625,14.660024642944336,80.00799560546875,23.564023971557617,53.391998291015625,818.3360004425049,80.00799560546875,827.2399997711182,66.69999694824219,19.112024307250977,822.7880001068115,595.2999877929688,841.9000244140625
1,0,0,2,Form,82.27999114990234,14.660024642944336,100.91999053955078,23.564023971557617,82.27999114990234,818.3360004425049,100.91999053955078,827.2399997711182,91.59999084472656,19.112024307250977,822.7880001068115,595.2999877929688,841.9000244140625
1,0,0,3,No.,103.1679916381836,14.660024642944336,115.55998992919922,23.564023971557617,103.1679916381836,818.3360004425049,115.55998992919922,827.2399997711182,109.3639907836914,19.112024307250977,822.7880001068115,595.2999877929688,841.9000244140625
1,0,0,4,6,117.73599243164062,14.660024642944336,122.18399047851562,23.564023971557617,117.73599243164062,818.3360004425049,122.18399047851562,827.2399997711182,119.95999145507812,19.112024307250977,822.7880001068115,595.2999877929688,841.9000244140625
1,0,1,0,Revised,36.0,23.860036849975582,64.9280014038086,32.7640380859375,36.0,809.135986328125,64.9280014038086,818.0399875640869,50.4640007019043,28.312037467956543,813.587986946106,595.2999877929688,841.9000244140625
1,0,1,1,2020,67.19999694824219,23.860036849975582,84.91999053955078,32.7640380859375,67.19999694824219,809.135986328125,84.91999053955078,818.0399875640869,76.05999374389648,28.312037467956543,813.587986946106,595.2999877929688,841.9000244140625
1,1,0,0,Republic,226.52999877929688,34.94502258300781,272.927978515625,47.21002578735352,226.52999877929688,794.689998626709,272.927978515625,806.9550018310547,249.72898864746094,41.077524185180664,800.8225002288818,595.2999877929688,841.9000244140625
1,1,0,1,of,275.9859924316406,34.94502258300781,286.3699951171875,47.21002578735352,275.9859924316406,794.689998626709,286.3699951171875,806.9550018310547,281.17799377441406,41.077524185180664,800.8225002288818,595.2999877929688,841.9000244140625
1,1,0,2,the,289.4939880371094,34.94502258300781,306.0159912109375,47.21002578735352,289.4939880371094,794.689998626709,306.0159912109375,806.9550018310547,297.75498962402344,41.077524185180664,800.8225002288818,595.2999877929688,841.9000244140625
1,1,0,3,Philippines,309.0740051269531,34.94502258300781,367.6710815429688,47.21002578735352,309.0740051269531,794.689998626709,367.6710815429688,806.9550018310547,338.37254333496094,41.077524185180664,800.8225002288818,595.2999877929688,841.9000244140625
1,1,1,0,PHILIPPINE,176.42999267578125,50.0,253.83001708984372,62.0,176.42999267578125,779.9000244140625,253.83001708984372,791.9000244140625,215.1300048828125,56.0,785.9000244140625,595.2999877929688,841.9000244140625
1,1,1,1,STATISTICS,257.7179870605469,50.0,332.6699523925781,62.0,257.7179870605469,779.9000244140625,332.6699523925781,791.9000244140625,295.1939697265625,56.0,785.9000244140625,595.2999877929688,841.9000244140625
